PWM: 16.468200, RPM: 0.000000

PWM: 16.076100, RPM: 0.000000

PWM: 15.684000, RPM: 0.000000

PWM: 15.291900, RPM: 0.000000

PWM: 14.899800, RPM: 0.000000

PWM: 14.507700, RPM: 0.000000

PWM: 14.115600, RPM: 0.000000

PWM: 13.723500, RPM: 0.000000

PWM: 13.331400, RPM: 0.000000

PWM: 12.939300, RPM: 0.000000

PWM: 12.547200, RPM: 0.000000

PWM: 12.155100, RPM: 0.000000

PWM: 11.763000, RPM: 0.000000

PWM: 11.370900, RPM: 0.000000

PWM: 10.978800, RPM: 0.000000

PWM: 10.586700, RPM: 0.000000

PWM: 10.194600, RPM: 0.000000

PWM: 9.802500, RPM: 0.000000

PWM: 9.410400, RPM: 0.000000

PWM: 9.018300, RPM: 0.000000

PWM: 8.626200, RPM: 0.000000

PWM: 8.234100, RPM: 0.000000

PWM: 7.842000, RPM: 0.000000

PWM: 7.449900, RPM: 0.000000

PWM: 7.057800, RPM: 0.000000

PWM: 6.665700, RPM: 0.000000

PWM: 6.273600, RPM: 0.000000

PWM: 5.881500, RPM: 0.000000

PWM: 5.489400, RPM: 0.000000

PWM: 5.097300, RPM: 0.000000

PWM: 4.705200, RPM: 0.000000

PWM: 4.313100, RPM: 0.000000

PWM: 3.921000, RPM: 0.000000

PWM: 3.528900, RPM: 0.000000

PWM: 3.136800, RPM: 0.000000

PWM: 2.744700, RPM: 0.000000

PWM: 2.352600, RPM: 0.000000

PWM: 1.960500, RPM: 0.000000

PWM: 1.568400, RPM: 0.000000

PWM: 1.176300, RPM: 0.000000

PWM: 0.784200, RPM: 0.000000

PWM: 0.392100, RPM: 0.000000

PWM: 0.392100, RPM: 0.000000

PWM: 11.763000, RPM: 0.000000

PWM: 12.155100, RPM: 0.000000

PWM: 12.547200, RPM: 0.000000

PWM: 12.939300, RPM: 0.000000

PWM: 13.331400, RPM: 0.000000

PWM: 13.723500, RPM: 0.000000

PWM: 14.115600, RPM: 0.000000

PWM: 14.507700, RPM: 0.000000

PWM: 14.899800, RPM: 0.000000

PWM: 15.291900, RPM: 0.000000

PWM: 15.684000, RPM: 0.000000

PWM: 16.076100, RPM: 0.000000

PWM: 16.468200, RPM: 0.000000

PWM: 16.860300, RPM: 0.000000

PWM: 17.252400, RPM: 0.000000

PWM: 17.644500, RPM: 0.000000

PWM: 18.036600, RPM: 0.000000

PWM: 18.428700, RPM: 0.000000

PWM: 18.820800, RPM: 0.000000

